,created,lat,lon,x,y,epa_pm25_value,ndvi,wind_x,wind_y,elevation,neighbor_0,neighbor_1,neighbor_2,neighbor_3,neighbor_4,neighbor_5,neighbor_6,neighbor_7,neighbor_8,neighbor_9,neighbor_10,neighbor_11,neighbor_12,neighbor_13,neighbor_14,neighbor_15,neighbor_16,neighbor_17,neighbor_18,neighbor_19,neighbor_20,neighbor_21,neighbor_22,neighbor_23,temperature,humidity
62,201909010000,37.84926675640598,-122.53024763536915,1,41,5.1,6800,1.2155372436685097,-6.893654271085457,131,4.41,3.72,1.45,3.14,,,,,,,,5.42,,2.62,8.84,0.89,3.88,,2.24,4.62,,,22.97,,84.0,45.0
63,201909010000,37.85281334427072,-122.53024763536915,1,42,5.1,6800,1.2155372436685097,-6.893654271085457,185,4.41,3.72,3.14,1.45,,,,,,,5.42,,,2.62,8.84,3.88,0.89,,,4.62,3.48,2.24,,,83.0,47.333333333333336
64,201909010000,37.85635976153246,-122.53024763536915,1,43,5.1,7102,1.2155372436685097,-6.893654271085457,203,3.72,3.14,4.41,1.45,,,,,,,5.42,,,2.62,8.84,3.88,0.89,,,3.48,4.62,,1.95,,83.0,47.333333333333336
65,201909010000,37.85990600818583,-122.53024763536915,1,44,5.1,6042,1.2155372436685097,-6.893654271085457,101,3.72,3.14,1.45,4.41,,,,,,,5.42,,,2.62,8.84,3.88,0.89,,,3.48,4.62,,,,83.33333333333333,45.333333333333336
66,201909010000,37.863452084225436,-122.53024763536915,1,45,5.1,6042,1.2155372436685097,-6.893654271085457,123,3.72,3.14,,1.45,4.41,,,,,,5.42,,2.62,8.84,3.88,,0.89,,,3.48,,,,4.62,84.5,45.0
67,201909010000,37.86699798964593,-122.53024763536915,1,46,5.1,7671,1.2155372436685097,-6.893654271085457,53,3.72,3.14,,1.45,,,,,4.41,,5.42,2.62,3.88,8.84,0.89,,,,,3.48,,,,1.95,84.5,45.0
68,201909010000,37.87054372444192,-122.53024763536915,1,47,5.1,6413,1.2155372436685097,-6.893654271085457,69,3.72,3.14,,,1.45,,,5.42,,,4.41,3.88,2.62,8.84,0.89,,,,,3.48,,,,1.95,84.5,45.0
69,201909010000,37.87408928860804,-122.53024763536915,1,48,5.1,6413,1.2155372436685097,-6.893654271085457,51,3.72,3.14,,,,,1.45,5.42,,,3.88,2.62,4.41,8.84,0.89,,,,3.48,,,,,2.56,84.5,45.0
70,201909010000,37.87763468213894,-122.53024763536915,1,49,5.1,6687,1.2155372436685097,-6.893654271085457,4,3.72,3.14,,,,,5.42,1.45,,3.88,,2.62,8.84,,0.89,,,3.48,4.41,,,,,2.56,84.5,45.0
71,201909010000,37.88117990502923,-122.53024763536915,1,50,5.1,6687,1.2155372436685097,-6.893654271085457,33,3.14,3.72,,,,,5.42,1.45,3.88,,2.62,8.84,0.89,,,,3.48,,,,,4.41,,2.56,84.5,45.0
72,201909010000,37.884724957273576,-122.53024763536915,1,51,5.1,6096,1.2155372436685097,-6.893654271085457,102,,3.14,3.72,,,,5.42,3.88,,2.62,0.89,8.84,,1.45,3.48,,,,,,,2.56,,4.41,84.5,45.0
73,201909010000,37.88826983886661,-122.53024763536915,1,52,5.1,5764,1.2155372436685097,-6.893654271085457,84,,3.14,,3.72,,,5.42,,3.88,,2.62,0.89,8.84,3.48,1.45,,,,,2.56,,,1.95,,78.0,53.0
74,201909010000,37.89181454980297,-122.53024763536915,1,53,5.1,5764,1.2155372436685097,-6.893654271085457,15,,,,,5.42,3.14,3.72,,3.88,,2.62,0.89,3.48,8.84,,,,,2.56,1.45,,,1.95,,,
75,201909010000,37.895359090077335,-122.53024763536915,1,54,5.1,5332,1.2155372436685097,-6.893654271085457,4,,,,5.42,,3.14,3.72,,3.88,,3.48,0.89,2.62,8.84,,,2.56,,,1.45,1.95,,,,,
76,201909010000,37.89890345968432,-122.53024763536915,1,55,5.1,5683,1.2155372436685097,-6.893654271085457,3,,,5.42,,,,3.14,,3.88,3.72,3.48,0.89,2.62,8.84,,,2.56,,,1.95,1.45,,,,91.0,35.0
77,201909010000,37.902447658618605,-122.53024763536915,1,56,5.1,5683,1.2155372436685097,-6.893654271085457,18,,,5.42,,,,,3.48,3.88,3.14,,,3.72,0.89,2.62,8.84,2.56,,,1.95,1.45,,,,91.0,35.0
78,201909010000,37.90599168687483,-122.53024763536915,1,57,5.1,7013,1.2155372436685097,-6.893654271085457,89,5.42,,,,,3.48,,,3.88,,,0.89,2.56,3.14,2.62,8.84,3.72,,,1.95,1.45,,,,91.0,35.0
79,201909010000,37.90953554444767,-122.53024763536915,1,58,5.1,7500,1.2155372436685097,-6.893654271085457,118,5.42,,,,,3.48,,,3.88,,,2.56,0.89,2.62,8.84,3.14,,3.72,,1.95,1.45,1.04,,,91.0,35.0
80,201909010000,37.913079231331785,-122.53024763536915,1,59,5.1,7500,1.2155372436685097,-6.893654271085457,88,,,5.42,3.48,,,,,3.88,2.56,,,0.89,2.62,8.84,,3.14,3.72,,1.95,1.04,1.45,,,91.0,35.0
